Navn;Stasjon;Tid(norsk normaltid);Nedbør (mnd)
Ytre Solund;SN56400;01.2020;277,6
Ytre Solund;SN56400;02.2020;223,2
Ytre Solund;SN56400;03.2020;164,2
Ytre Solund;SN56400;04.2020;100,2
Ytre Solund;SN56400;05.2020;96,4
Ytre Solund;SN56400;06.2020;42
Ytre Solund;SN56400;07.2020;159,5
Ytre Solund;SN56400;08.2020;120,8
Ytre Solund;SN56400;09.2020;222,8
Ytre Solund;SN56400;10.2020;149,3
Ytre Solund;SN56400;11.2020;269,3
Ytre Solund;SN56400;12.2020;213,2
Vangsnes;SN53101;01.2020;273,6
Vangsnes;SN53101;02.2020;181,3
Vangsnes;SN53101;03.2020;159,1
Vangsnes;SN53101;04.2020;92
Vangsnes;SN53101;05.2020;36,2
Vangsnes;SN53101;06.2020;11,7
Vangsnes;SN53101;07.2020;79,1
Vangsnes;SN53101;08.2020;80,1
Vangsnes;SN53101;09.2020;173,8
Vangsnes;SN53101;10.2020;56,5
Vangsnes;SN53101;11.2020;192,3
Vangsnes;SN53101;12.2020;28,2
Skjolden;SN55300;01.2020;268,4
Skjolden;SN55300;02.2020;179,5
Skjolden;SN55300;03.2020;93,9
Skjolden;SN55300;04.2020;68
Skjolden;SN55300;05.2020;34,5
Skjolden;SN55300;06.2020;17,2
Skjolden;SN55300;07.2020;59,5
Skjolden;SN55300;08.2020;64,7
Skjolden;SN55300;09.2020;116,1
Skjolden;SN55300;10.2020;48,5
Skjolden;SN55300;11.2020;232,4
Skjolden;SN55300;12.2020;35,9
Data er gyldig per 11.06.2021 (CC BY 4.0), Meteorologisk institutt (MET);;;
